time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
4,3,0,2040,34,5.0269e-12,3.0161e-10,1.0255e-08,-262133,262144,1.0717e+11,1.2989e+11,4.2943e+10,52632,2.8001e+11
4,4,0,2100,35,5.0269e-12,3.0161e-10,1.0556e-08,-262125,262144,1.0559e+11,1.2991e+11,4.586e+10,48020,2.8136e+11
4,5,0,2160,36,5.0269e-12,3.0161e-10,1.0858e-08,-262118,262144,1.0417e+11,1.2993e+11,4.841e+10,43262,2.8251e+11
4,6,0,2220,37,5.0269e-12,3.0161e-10,1.116e-08,-262107,262144,1.0309e+11,1.2995e+11,5.0319e+10,38810,2.8337e+11
4,7,0,2280,38,5.0269e-12,3.0161e-10,1.1461e-08,-262091,262144,1.0253e+11,1.2998e+11,5.1195e+10,34826,2.837e+11
4,8,0,2340,39,5.0269e-12,3.0161e-10,1.1763e-08,-262061,262144,1.0251e+11,1.3e+11,5.1093e+10,30748,2.836e+11
4,9,0,2400,40,5.0269e-12,3.0161e-10,1.2064e-08,-262034,262144,1.0305e+11,1.3002e+11,5.0305e+10,28208,2.8338e+11
5,0,0,2460,41,5.0269e-12,3.0161e-10,1.2366e-08,-261993,262144,1.0402e+11,1.3005e+11,4.867e+10,26865,2.8274e+11
5,1,0,2520,42,5.0269e-12,3.0161e-10,1.2668e-08,-261946,262144,1.0526e+11,1.3007e+11,4.655e+10,27079,2.8188e+11
5,2,0,2580,43,5.0269e-12,3.0161e-10,1.2969e-08,-261898,262144,1.0663e+11,1.3009e+11,4.4326e+10,29705,2.8105e+11
5,3,0,2640,44,5.0269e-12,3.0161e-10,1.3271e-08,-261839,262144,1.0798e+11,1.3012e+11,4.2134e+10,34075,2.8023e+11
5,4,0,2700,45,5.0269e-12,3.0161e-10,1.3573e-08,-261751,262144,1.0922e+11,1.3014e+11,4.0076e+10,39691,2.7944e+11
5,5,0,2760,46,5.0269e-12,3.0161e-10,1.3874e-08,-261660,262144,1.104e+11,1.3016e+11,3.7993e+10,47036,2.7856e+11
5,6,0,2820,47,5.0269e-12,3.0161e-10,1.4176e-08,-261549,262144,1.1153e+11,1.3018e+11,3.5858e+10,54548,2.7757e+11
5,7,0,2880,48,5.0269e-12,3.0161e-10,1.4477e-08,-261453,262144,1.1266e+11,1.302e+11,3.3847e+10,61637,2.7671e+11
5,8,0,2940,49,5.0269e-12,3.0161e-10,1.4779e-08,-261332,262144,1.1366e+11,1.3021e+11,3.1978e+10,66961,2.7585e+11
5,9,0,3000,50,5.0269e-12,3.0161e-10,1.5081e-08,-261209,262144,1.1449e+11,1.3023e+11,3.0501e+10,71470,2.7522e+11
6,0,0,3060,51,5.0269e-12,3.0161e-10,1.5382e-08,-261042,262144,1.1499e+11,1.3024e+11,2.9519e+10,73255,2.7476e+11
6,1,0,3120,52,5.0269e-12,3.0161e-10,1.5684e-08,-260889,262144,1.1518e+11,1.3026e+11,2.911e+10,72456,2.7455e+11
6,2,0,3180,53,5.0269e-12,3.0161e-10,1.5985e-08,-260755,262144,1.1505e+11,1.3028e+11,2.9207e+10,68694,2.7454e+11
6,3,0,3240,54,5.0269e-12,3.0161e-10,1.6287e-08,-260591,262144,1.1454e+11,1.3029e+11,3.0023e+10,63161,2.7485e+11
6,4,0,3300,55,5.0269e-12,3.0161e-10,1.6589e-08,-260394,262144,1.1369e+11,1.3031e+11,3.1271e+10,55797,2.7527e+11
6,5,0,3360,56,5.0269e-12,3.0161e-10,1.689e-08,-260187,262144,1.1258e+11,1.3033e+11,3.2961e+10,48401,2.7587e+11
6,6,0,3420,57,5.0269e-12,3.0161e-10,1.7192e-08,-259976,262144,1.1132e+11,1.3035e+11,3.4764e+10,41647,2.7643e+11
6,7,0,3480,58,5.0269e-12,3.0161e-10,1.7494e-08,-259760,262144,1.0997e+11,1.3037e+11,3.6692e+10,36319,2.7703e+11
6,8,0,3540,59,5.0269e-12,3.0161e-10,1.7795e-08,-259538,262144,1.0861e+11,1.3039e+11,3.8592e+10,32842,2.7759e+11
6,9,0,3600,60,5.0269e-12,3.0161e-10,1.8097e-08,-259313,262144,1.0729e+11,1.3042e+11,4.0405e+10,31328,2.7812e+11
7,0,0,3660,61,5.0269e-12,3.0161e-10,1.8398e-08,-259095,262144,1.0607e+11,1.3045e+11,4.2143e+10,31485,2.7866e+11
7,1,0,3720,62,5.0269e-12,3.0161e-10,1.87e-08,-258849,262144,1.0494e+11,1.3048e+11,4.3614e+10,33248,2.7904e+11
7,2,0,3780,63,5.0269e-12,3.0161e-10,1.9002e-08,-258587,262144,1.0395e+11,1.3051e+11,4.4682e+10,35502,2.7915e+11
7,3,0,3840,64,5.0269e-12,3.0161e-10,1.9303e-08,-258348,262144,1.0325e+11,1.3055e+11,4.5395e+10,38196,2.792e+11
7,4,0,3900,65,5.0269e-12,3.0161e-10,1.9605e-08,-258108,262144,1.0285e+11,1.3058e+11,4.5623e+10,40317,2.7905e+11
7,5,0,3960,66,5.0269e-12,3.0161e-10,1.9906e-08,-257866,262144,1.0277e+11,1.3062e+11,4.5299e+10,42041,2.7869e+11
7,6,0,4020,67,5.0269e-12,3.0161e-10,2.0208e-08,-257590,262144,1.03e+11,1.3065e+11,4.4305e+10,43539,2.7796e+11
7,7,0,4080,68,5.0269e-12,3.0161e-10,2.051e-08,-257319,262144,1.0351e+11,1.3068e+11,4.3043e+10,44703,2.7724e+11
7,8,0,4140,69,5.0269e-12,3.0161e-10,2.0811e-08,-257057,262144,1.0419e+11,1.3072e+11,4.1562e+10,44660,2.7647e+11
7,9,0,4200,70,5.0269e-12,3.0161e-10,2.1113e-08,-256783,262144,1.0485e+11,1.3075e+11,4.0267e+10,44243,2.7586e+11
8,0,0,4260,71,5.0269e-12,3.0161e-10,2.1414e-08,-256542,262144,1.054e+11,1.3078e+11,3.904e+10,43175,2.7522e+11
8,1,0,4320,72,5.0269e-12,3.0161e-10,2.1716e-08,-256268,262144,1.0568e+11,1.3081e+11,3.8337e+10,40969,2.7483e+11
8,2,0,4380,73,5.0269e-12,3.0161e-10,2.2018e-08,-256022,262144,1.0572e+11,1.3084e+11,3.8037e+10,38131,2.746e+11
8,3,0,4440,74,5.0269e-12,3.0161e-10,2.2319e-08,-255748,262144,1.0549e+11,1.3087e+11,3.8179e+10,35423,2.7454e+11
8,4,0,4500,75,5.0269e-12,3.0161e-10,2.2621e-08,-255484,262144,1.0508e+11,1.309e+11,3.864e+10,33219,2.7462e+11
8,5,0,4560,76,5.0269e-12,3.0161e-10,2.2923e-08,-255213,262144,1.0452e+11,1.3093e+11,3.9269e+10,31131,2.7472e+11
8,6,0,4620,77,5.0269e-12,3.0161e-10,2.3224e-08,-254962,262144,1.0388e+11,1.3096e+11,4.0095e+10,30362,2.7493e+11
8,7,0,4680,78,5.0269e-12,3.0161e-10,2.3526e-08,-254695,262144,1.0314e+11,1.3099e+11,4.1114e+10,29903,2.7524e+11
8,8,0,4740,79,5.0269e-12,3.0161e-10,2.3827e-08,-254473,262144,1.0231e+11,1.3102e+11,4.2241e+10,30333,2.7558e+11
8,9,0,4800,80,5.0269e-12,3.0161e-10,2.4129e-08,-254257,262144,1.0137e+11,1.3106e+11,4.3635e+10,31402,2.7606e+11
9,0,0,4860,81,5.0269e-12,3.0161e-10,2.4431e-08,-254003,262144,1.0028e+11,1.311e+11,4.5314e+10,32155,2.7669e+11
9,1,0,4920,82,5.0269e-12,3.0161e-10,2.4732e-08,-253771,262144,9.9158e+10,1.3113e+11,4.6993e+10,33315,2.7729e+11
9,2,0,4980,83,5.0269e-12,3.0161e-10,2.5034e-08,-253529,262144,9.806e+10,1.3117e+11,4.8608e+10,34378,2.7784e+11
9,3,0,5040,84,5.0269e-12,3.0161e-10,2.5335e-08,-253298,262144,9.7122e+10,1.3121e+11,4.988e+10,35351,2.7822e+11
9,4,0,5100,85,5.0269e-12,3.0161e-10,2.5637e-08,-253073,262144,9.6425e+10,1.3126e+11,5.0764e+10,35530,2.7845e+11
9,5,0,5160,86,5.0269e-12,3.0161e-10,2.5939e-08,-252842,262144,9.6013e+10,1.313e+11,5.1278e+10,35289,2.7859e+11
9,6,0,5220,87,5.0269e-12,3.0161e-10,2.624e-08,-252595,262144,9.5868e+10,1.3135e+11,5.1289e+10,34718,2.785e+11
9,7,0,5280,88,5.0269e-12,3.0161e-10,2.6542e-08,-252377,262144,9.5952e+10,1.3139e+11,5.1029e+10,33808,2.7837e+11
9,8,0,5340,89,5.0269e-12,3.0161e-10,2.6844e-08,-252180,262144,9.6182e+10,1.3143e+11,5.0503e+10,31995,2.7812e+11
9,9,0,5400,90,5.0269e-12,3.0161e-10,2.7145e-08,-251981,262144,9.6462e+10,1.3148e+11,5.0035e+10,29703,2.7798e+11
10,0,0,5460,91,5.0269e-12,3.0161e-10,2.7447e-08,-251776,262144,9.674e+10,1.3153e+11,4.9528e+10,27653,2.7779e+11
10,1,0,5520,92,5.0269e-12,3.0161e-10,2.7748e-08,-251577,262144,9.7004e+10,1.3157e+11,4.8952e+10,25749,2.7753e+11
10,2,0,5580,93,5.0269e-12,3.0161e-10,2.805e-08,-251393,262144,9.7296e+10,1.3162e+11,4.8474e+10,23909,2.7739e+11
10,3,0,5640,94,5.0269e-12,3.0161e-10,2.8352e-08,-251205,262144,9.7633e+10,1.3166e+11,4.7803e+10,22516,2.771e+11
10,4,0,5700,95,5.0269e-12,3.0161e-10,2.8653e-08,-251026,262144,9.8055e+10,1.3171e+11,4.6812e+10,22180,2.7657e+11
10,5,0,5760,96,5.0269e-12,3.0161e-10,2.8955e-08,-250829,262144,9.8563e+10,1.3175e+11,4.5831e+10,21993,2.7615e+11
10,6,0,5820,97,5.0269e-12,3.0161e-10,2.9256e-08,-250682,262144,9.916e+10,1.3179e+11,4.4775e+10,22801,2.7573e+11
10,7,0,5880,98,5.0269e-12,3.0161e-10,2.9558e-08,-250511,262144,9.9751e+10,1.3184e+11,4.3677e+10,23733,2.7526e+11
10,8,0,5940,99,5.0269e-12,3.0161e-10,2.986e-08,-250358,262144,1.0029e+11,1.3188e+11,4.2683e+10,26098,2.7485e+11
10,9,0,6000,100,5.0269e-12,3.0161e-10,3.0161e-08,-250200,262144,1.007e+11,1.3192e+11,4.1872e+10,28163,2.7449e+11
11,0,0,6060,101,5.0269e-12,3.0161e-10,3.0463e-08,-250039,262144,1.0096e+11,1.3196e+11,4.129e+10,30506,2.742e+11
11,1,0,6120,102,5.0269e-12,3.0161e-10,3.0764e-08,-249867,262144,1.0105e+11,1.32e+11,4.0987e+10,33050,2.7403e+11
11,2,0,6180,103,5.0269e-12,3.0161e-10,3.1066e-08,-249706,262144,1.0102e+11,1.3203e+11,4.104e+10,35249,2.7409e+11
11,3,0,6240,104,5.0269e-12,3.0161e-10,3.1368e-08,-249566,262144,1.0092e+11,1.3207e+11,4.1019e+10,36929,2.7401e+11
11,4,0,6300,105,5.0269e-12,3.0161e-10,3.1669e-08,-249423,262144,1.0078e+11,1.3211e+11,4.1134e+10,37013,2.7402e+11
11,5,0,6360,106,5.0269e-12,3.0161e-10,3.1971e-08,-249270,262144,1.0062e+11,1.3214e+11,4.1432e+10,37108,2.7419e+11
11,6,0,6420,107,5.0269e-12,3.0161e-10,3.2273e-08,-249144,262144,1.0042e+11,1.3218e+11,4.1728e+10,36378,2.7434e+11
